ident,statement,source,applies_to,verdict,why,retired_by
pressure-free-ballistic-flight,"Fireball elements fly in straight lines at fixed speed after the merge; only rho v^2 acts, never P.","prior work's ballistic model, PRD §2.2",beta_bare; beta_flat; beta_finite; beta_mirror,departs,"At k ~ 7 the fireball's sound speed (~9.8 km/s) and its recoil velocity (9.31 km/s) agree to within 5%, and terminal Mach at the transport hand-off is ~2.5 — the worst possible regime in which to omit pressure. Closing the 1.2-point gap this omission leaves is the study's whole purpose (PRD §3.4).",Rung 1 (1-D spherical screen) and Rung 3/4 (2-D resolved transport)
isotropic-emission,The merged blob expands isotropically at a single speed u in its own frame.,"prior work's ballistic model, PRD §2.2",beta_bare; beta_flat; beta_finite; beta_mirror,departs,"An axial projectile burying itself in a slug deposits energy anisotropically, and §6.2's snowplow screen shows deposited-energy fraction spanning 34-75% depending on projectile geometry alone. A single-speed shell also has zero velocity variance, whereas the real spread is 8-20 km/s (§6.4).","Rung 1 (prescribed-deposition bracket), Rung 3 (resolved penetration)"
complete-inelastic-merge-and-vaporisation,Projectile and slug merge completely and everything vaporises.,PRD §2.2,beta_bare; beta_mirror; beta_ideal,holds-with-caveat,"The energy budget supports it — 305.7 MJ/kg is 57.1 eV per H2O molecule, far past dissociation plus first ionisation — but 'merges completely' is exactly what the §6.2 penetration screen contradicts for a slender projectile, which punches through and leaves the slug a spectator.",Rung 1 material qualification; Rung 3 resolved penetration
perfect-collimation-by-the-plate,"The plate redirects each captured element to -z at its full arrival speed (Delta_p = |v| + v_z), i.e. a focus-matched paraboloid.","prior work's beta_bare, PRD §3.6",beta_bare; beta_finite,departs,"This is an idealisation *already inside* the headline 984 s, not upside on top of it: the flat-plate counterpart is beta_flat = 0.517 and 560 s at the same k. A real stagnating plenum returns some fraction of that prize, and how much is what the shape sweep asks.","Rung 4 plate sweep (flat plus the paraboloid family, both tapers)"
infinite-plate-radius,"Everything with v_z > 0 is caught, at any radius.","prior work's beta_bare, PRD §3.6",beta_bare; beta_flat,departs,"Rays near the capture threshold arrive nearly grazing and land at large radius, so a finite plate loses them: capture falls 31.2% -> 10.6% at the reference R/d = 1.5. The headline number is an R -> infinity idealisation and must be quoted as the upper edge of a bracket (§13.13).",Rung 4 plate-radius sweep; `capture_convention_bracket()` states the bracket
rigid-non-recoiling-plate,The plate is rigid during the pulse and does not recoil appreciably.,"inherited from the f(v) study, PRD §12",beta_bare; beta_flat; beta_finite,holds,"Plate recoil is 34 m/s per pulse against ~20 km/s gas — a factor of ~600 in hand — and a 30 m plate's first flexural mode is 10-100 ms against a 750 us pulse (§4.1, §6.4). This one transfers cleanly and passes trivially.",n/a — verified analytically at this study's loads
no-radiative-loss,No energy leaves the system as radiation before the impulse is delivered.,ballistic model; PRD §7.2 Tier 1,beta_bare; beta_mirror; beta_ideal,holds-with-caveat,"Defensible for the *near field*, which is optically thick, and radiative loss can only lower the realized impulse, so the ceiling stays a ceiling. But at the plate tau_opt spans 0.63-63 and straddles 1, where flux-limited diffusion is weakest — and this project has already been burned by a 2000x opacity error there (§5.3).",Rung 4's coupled rad-hydro spot-check (D6 gate)
single-closing-speed,"One closing speed w = 75 km/s, rather than the 74-81 km/s envelope.",PRD §0.2,beta_bare; beta_finite; beta_mirror,holds,"beta is dimensionless and independent of w, so w enters Isp and projectile economy linearly and only as a stated scale. The one place it must not be conflated is prior work's w_bar = 77.28 km/s, kept separate here.","n/a — parameterised, not assumed"
cauchy-schwarz-ceiling,"All carried material starts at rest in the vehicle frame and ejecta energy is at most the projectile's incoming kinetic energy, giving j_max = w(sqrt(1+K_ej)-1).",PRD §3.2,beta_ideal; v_e_max; realization_fraction,holds,"A thermodynamic identity, not a model: it bounds any hydrodynamics whatsoever, which is precisely why it is the study's scoring reference. Its one real assumption is that no *other* energy source enters — true here, since the vehicle supplies none.",n/a — the invariant every rung is checked against
infinite-mass-mirror,The tamper reverses each element at unchanged speed without recoiling.,"prior work's upper bound, PRD §2 of the handoff",beta_mirror,departs,"Self-contradictory at finite mass — 'reflects all energy, absorbs none, still recoils'. Retained *only* as an upper bound (it reaches 96.9% of the K_ej = k ceiling), never as a tamper model. ADR-0030 replaces it with the isentropic piston framing and credits the tamper's recoil instead of counting it as loss.",ADR-0030; measured by Rungs 1-3
pass1-excludes-ablator,K_ej = K = C: no ablator mass in the ceiling or the Isp denominator.,"PRD §3.1, D4",beta_ideal; isp_eff; realization_fraction,holds-with-caveat,"Deliberate and labelled: it isolates the tamper question from the plate question. But the ablator is uncertain by 27x and could be 2-60% of the mass budget, so *every* Pass-1 Isp is an upper bound and must be quoted as one.","Rung 6 (Pass 2), which re-optimises every family with its measured ablator"
